DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Austria,2023,8.0,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Belgium,2023,13.3,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Bulgaria,2023,10.4,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Switzerland,2023,7.7,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Cyprus,2023,10.5,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Czechia,2023,7.9,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Germany,2023,16.8,u
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Denmark,2023,7.3,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Euro area – 20 countries (from 2023),2023,13.3,e
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Estonia,2023,8.6,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Greece,2023,20.5,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Spain,2023,10.7,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,European Union - 27 countries (from 2020),2023,12.2,e
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Finland,2023,9.7,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,France,2023,16.0,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Croatia,2023,4.2,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Hungary,2023,14.6,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Italy,2023,9.9,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Lithuania,2023,10.9,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Luxembourg,2023,9.5,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Latvia,2023,15.4,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Malta,2023,34.7,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Netherlands,2023,14.7,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Norway,2023,9.5,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Poland,2023,7.1,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Portugal,2023,15.3,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Romania,2023,11.7,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Sweden,2023,5.0,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Slovenia,2023,14.9,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Slovakia,2023,5.8,
ESTAT:ILC_MDDW02(1.0),06/12/24 23:00:00,Annual,Total,Total,Percentage,Türkiye,2023,19.8,
